
央视频道,#genre#
CCTV1,http://139.155.142.13:9177/miguHD.php?id=CCTV1
CCTV1,http://139.155.142.13:9177/migu.php?id=cctv1
CCTV2,http://139.155.142.13:9177/miguHD.php?id=CCTV2
CCTV2,http://139.155.142.13:9177/migu.php?id=cctv2
CCTV3,http://139.155.142.13:2025/z.php?id=CCTV3
CCTV3,http://139.155.142.13:9177/miguHD.php?id=CCTV3
CCTV3,http://139.155.142.13:9177/migu.php?id=cctv3
CCTV4,http://139.155.142.13:9177/miguHD.php?id=CCTV4
CCTV4,http://139.155.142.13:9177/migu.php?id=cctv4
CCTV5,http://139.155.142.13:9177/miguHD.php?id=CCTV5
CCTV5+,http://139.155.142.13:9177/miguHD.php?id=CCTV5p
CCTV6,http://139.155.142.13:9177/miguHD.php?id=CCTV6
CCTV6,http://139.155.142.13:9177/migu.php?id=cctv6
CCTV7,http://139.155.142.13:9177/miguHD.php?id=CCTV7
CCTV7,http://139.155.142.13:9177/migu.php?id=cctv7
CCTV8,http://139.155.142.13:9177/miguHD.php?id=CCTV8
CCTV8,http://139.155.142.13:9177/migu.php?id=cctv8
CCTV9,http://139.155.142.13:9177/miguHD.php?id=CCTV9
CCTV9,http://139.155.142.13:9177/migu.php?id=cctv9
CCTV10,http://139.155.142.13:9177/miguHD.php?id=CCTV10
CCTV10,http://139.155.142.13:9177/migu.php?id=cctv10
CCTV11,http://139.155.142.13:9177/miguHD.php?id=CCTV11
CCTV11,http://139.155.142.13:9177/migu.php?id=cctv11
CCTV12,http://139.155.142.13:9177/miguHD.php?id=CCTV12
CCTV12,http://139.155.142.13:9177/migu.php?id=cctv12
CCTV13,http://139.155.142.13:9177/miguHD.php?id=CCTV13
CCTV13,http://139.155.142.13:9177/migu.php?id=cctv13
CCTV14,http://139.155.142.13:9177/miguHD.php?id=CCTV14
CCTV14,http://139.155.142.13:9177/migu.php?id=cctv14
CCTV15,http://139.155.142.13:9177/miguHD.php?id=CCTV15
CCTV15,http://139.155.142.13:9177/migu.php?id=cctv15
CCTV16,http://139.155.142.13:9177/miguHD.php?id=CCTV16
CCTV17,http://139.155.142.13:9177/migu.php?id=cctv17
CHC影迷电影,http://139.155.142.13:9177/miguHD.php?id=CHC影迷电影
CHC家庭影院,http://139.155.142.13:9177/miguHD.php?id=CHC家庭影院
CHC动作电影,http://139.155.142.13:9177/miguHD.php?id=CHC动作电影
CCTV发现之旅,http://139.155.142.13:9177/migu.php?id=fxzl
CCTV老故事,http://139.155.142.13:9177/migu.php?id=lgs
CCTV中学生,http://139.155.142.13:9177/migu.php?id=zxs
CGTN,http://139.155.142.13:9177/migu.php?id=cgtn
CGTN纪录,http://139.155.142.13:9177/migu.php?id=cgtnjl
CCTV西班牙语,http://139.155.142.13:9177/migu.php?id=cgtne
CCTV法语,http://139.155.142.13:9177/migu.php?id=cgtnf
CCTV阿拉伯语,http://139.155.142.13:9177/migu.php?id=cgtna
CCTV俄语,http://139.155.142.13:9177/migu.php?id=cgtnr
